sample,Id,Iq,theta_elec,omega_elec
212,-0.927017,1.06991,5.62345,0
213,-0.875679,1.15684,5.67372,0
214,-0.811527,1.23096,5.72398,0
215,-0.745896,1.31334,5.78053,0
216,-0.6958,1.36784,5.8308,0
217,-0.627585,1.42036,5.88735,0
218,-0.530798,1.48465,5.93761,0
219,-0.434488,1.53462,5.99416,0
220,-0.335439,1.58459,6.04443,0
221,-0.217904,1.60607,6.10097,0
222,-0.135218,1.62693,6.15752,0
223,-0.077194,1.6238,6.20779,0
224,-0.00329968,1.65544,6.26434,0
225,0.0660981,1.65994,0.0376991,0
226,0.11991,1.63912,0.0942478,0
227,0.184829,1.60912,0.144513,0
228,0.227433,1.5874,0.201062,0
229,0.29714,1.5522,0.257611,0
230,0.36304,1.54621,0.314159,0
231,0.403494,1.48832,0.364425,0
232,0.452341,1.44555,0.420973,0
233,0.509823,1.40262,0.477522,0
234,0.533807,1.36167,0.534071,0
235,0.569495,1.30363,0.584336,0
236,0.590187,1.24038,0.640885,0
237,0.613477,1.18831,0.697434,0
238,0.637997,1.11375,0.747699,0
239,0.631261,1.034,0.804248,0
240,0.647496,0.970453,0.860796,0
241,0.637947,0.905755,0.917345,0
242,0.595138,0.829218,0.967611,0
243,0.5649,0.768331,1.02416,0
244,0.547152,0.706975,1.08071,0
245,0.519361,0.641414,1.13097,0
246,0.467601,0.617249,1.18752,0
247,0.431821,0.618052,1.23779,0
248,0.411102,0.631445,1.29434,0
249,0.388319,0.644311,1.35088,0
250,0.341684,0.652999,1.40115,0
251,0.296472,0.65497,1.4577,0
252,0.266088,0.677224,1.50796,0
253,0.231274,0.688548,1.56451,0
254,0.187888,0.696933,1.61478,0
255,0.184555,0.685974,1.67133,0
